vin;time;mac_address;name;vehicle_speed;latitude;longitude;altitude;battery_voltage;humidity;low_battery;temperature
WSXFP10200LD10194;2024-08-12 06:25:13.362000 +00:00;7C:D9:F4:01:8F:EE;Botte;39.875;45.49038983333334;10.0632145;102.8;2000;;false;
WSXFP10200LD10194;2024-08-12 06:28:40.615000 +00:00;7C:D9:F4:01:8F:EE;Botte;26.0273;45.485358;10.046770500000001;100.5;4080;;false;
WSXFP10200LD10194;2024-08-12 06:31:40.475000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.491950333333335;10.046702;107;3100;;false;
WSXFP10200LD10194;2024-08-12 06:34:25.335000 +00:00;7C:D9:F4:01:8F:EE;Botte;5.48047;45.49190000000001;10.046751666666665;95.7;4150;;false;
WSXFP10200LD10194;2024-08-12 06:41:21.765000 +00:00;7C:D9:F4:01:8F:EE;Botte;26.0781;45.48745099999999;10.064547833333334;115.3;4160;;false;
WSXFP10200LD10194;2024-08-12 06:44:27.820000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.48652233333334;10.067048499999999;113.4;4160;;false;
WSXFP10200LD10194;2024-08-12 06:48:49.782000 +00:00;7C:D9:F4:01:8F:EE;Botte;9.6875;45.486563666666676;10.0670475;125.2;2000;;false;
WSXFP10200LD10194;2024-08-12 06:52:20.420000 +00:00;7C:D9:F4:01:8F:EE;Botte;44.3281;45.487105500000006;10.061623333333335;111.6;4180;;false;
WSXFP10200LD10194;2024-08-12 06:55:41.369000 +00:00;7C:D9:F4:01:8F:EE;Botte;31.8125;45.4877285;10.045930333333333;99.4;4120;;false;
WSXFP10200LD10194;2024-08-12 06:57:49.699000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49194866666667;10.046745000000001;112.2;2000;;false;
WSXFP10200LD10194;2024-08-12 06:58:36.251000 +00:00;7C:D9:F4:01:8F:EE;Botte;3.98047;45.49195083333334;10.046758833333334;116.3;2960;;false;
WSXFP10200LD10194;2024-08-12 07:00:02.053000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49185783333334;10.047367666666664;114;4180;;false;
WSXFP10200LD10194;2024-08-12 07:01:31.048000 +00:00;7C:D9:F4:01:8F:EE;Botte;5.40625;45.49182533333333;10.047392;110.1;4070;;false;
WSXFP10200LD10194;2024-08-12 07:03:39.389000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.4918995;10.0467415;105.3;2000;;false;
WSXFP10200LD10194;2024-08-12 07:05:02.089000 +00:00;7C:D9:F4:01:8F:EE;Botte;5.04297;45.491887166666665;10.046750833333334;107.6;4200;;false;
WSXFP10200LD10194;2024-08-12 07:07:22.558000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49143283333333;10.046536166666668;107.4;4110;;false;
WSXFP10200LD10194;2024-08-12 07:39:15.054000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;6.17969;45.48621833333333;10.06611;100.2;2000;;false;
WSXFP10200LD10194;2024-08-12 07:42:36.223000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;8.35156;45.486189333333336;10.065912833333334;100.3;4150;;false;
WSXFP10200LD10194;2024-08-12 07:46:04.561000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;4.58984;45.486044;10.066004166666666;93.5;2960;;false;
WSXFP10200LD10194;2024-08-12 07:49:30.046000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;4.68359;45.486177500000004;10.0658915;108.9;4180;;false;
WSXFP10200LD10194;2024-08-12 07:53:21.490000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;8.71094;45.48618383333334;10.065948333333333;107.3;2960;;false;
WSXFP10200LD10194;2024-08-12 08:00:02.285000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;4.41406;45.48625699999999;10.065953999999998;104.3;2000;;false;
WSXFP10200LD10194;2024-08-12 08:03:22.693000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;3.16797;45.48620883333333;10.065913499999999;108.9;4200;;false;
WSXFP10200LD10194;2024-08-12 08:06:54.820000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;1.71875;45.48610266666666;10.065832666666669;111.4;2000;;false;
WSXFP10200LD10194;2024-08-12 08:13:53.525000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;3.86328;45.486241;10.065913166666668;113.4;3100;;false;
WSXFP10200LD10194;2024-08-12 08:17:15.263000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;9.55859;45.486154000000006;10.066153833333335;107.6;2000;;false;
WSXFP10200LD10194;2024-08-12 08:20:43.149000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;8.14844;45.486162833333346;10.0660565;104.1;3100;;false;
WSXFP10200LD10194;2024-08-12 08:24:05.343000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;4.51563;45.48623966666668;10.066099;109.6;4200;;false;
WSXFP10200LD10194;2024-08-12 08:27:44.605000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;7.23828;45.486239833333336;10.065960833333332;103;2000;;false;
WSXFP10200LD10194;2024-08-12 08:30:57.616000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;5.80078;45.486084833333344;10.065748000000001;102.8;4200;;false;
WSXFP10200LD10194;2024-08-12 08:34:26.512000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0.171875;45.486188999999996;10.065719333333334;107.8;3600;;false;
WSXFP10200LD10194;2024-08-12 08:37:47.804000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;3.45313;45.486279333333336;10.065848666666666;104.7;2000;;false;
WSXFP10200LD10194;2024-08-12 08:41:32.118000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;4.26953;45.486143999999996;10.066052;90;4190;;false;
WSXFP10200LD10194;2024-08-12 08:44:29.351000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;3.12891;45.486115166666664;10.0657985;102.8;2000;;false;
WSXFP10200LD10194;2024-08-12 08:48:00.233000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;4.59766;45.48630299999999;10.0660895;87.9;2960;;false;
WSXFP10200LD10194;2024-08-12 08:54:40.529000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;8.11719;45.48607133333333;10.065798666666664;97.2;4180;;false;
WSXFP10200LD10194;2024-08-12 08:57:47.284000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;5.6875;45.486164666666674;10.065946333333335;93.8;0;;false;
